id,text,label
4744754354720292,白宫发言人：我们不主张杀死外国领导人或政权更迭。这不是美国的政策。路人甲：她怎么能忍住不笑的？苏莱曼尼：这骚娘们，别扯淡了……老子就是给你们这帮卑鄙小人暗算的！#美国病毒##俄军进入乌克兰#,乌克兰
4744754325099069,#第三轮俄乌谈判已结束##俄罗斯##乌克兰#为何对乌克兰动武？普京一句话亮明最新态度，泽连斯基察觉不对劲难懂阿三的世界的微博视频,乌克兰
4744754141073417,【王毅谈乌克兰局势：当务之急是避免人道主义危机】中国国务委员兼外长王毅3月7日应约同欧盟外交与安全政策高级代表博雷利通电话时表示，中方对乌克兰局势走到这一步感到痛惜。制裁解决不了问题，升级制裁反而会使局势更加复杂扩大。当务之急是避免人道主义危机。王毅谈乌克兰局势：当务之急是避免人道主义危机,乌克兰
4744754124556534,总部每周晨会之后的总结简直就是大型公开摆烂大会，完全不要脸了。你说业绩他跟你讲市场，你说市场他讲技术，你说技术他跟你讲政治。乌克兰俄罗斯北约欧盟联合国一顿说就是不说自己业绩做的有多烂，我微信随便一个炒股群里的普信男讲政治都讲的比他好。,乌克兰
4744754061904116,昨天推上是击落飞机表演，今天各种视频是反坦克游击战展示。加上一名少将被击毙，守军的照片视频里的士气明显碾压战犯普金那些吃不饱肚子的士兵。北约这次近距离观摩北极熊在家门口拉稀，所有高级将领都很吃惊，总结就是二战以来，这些集权国家没有一个能打的。加油乌克兰！💙💛,乌克兰
4744754027826140,乌克兰“国土防卫军”中的一群外国武装人员，具体地点不明。#关注俄乌局势最新进展#,乌克兰
4744754439393261,从俄军入侵乌克兰，乌克兰总统泽连斯基留在基辅那一刻起，决定了这场入侵行动俄军必败！北京,乌克兰
4744754354720292,白宫发言人：我们不主张杀死外国领导人或政权更迭。这不是美国的政策。路人甲：她怎么能忍住不笑的？苏莱曼尼：这骚娘们，别扯淡了……老子就是给你们这帮卑鄙小人暗算的！#美国病毒##俄军进入乌克兰#,乌克兰
4744754347377208,希望乌克兰前线保卫国土的女性同胞们，一切平安，早日击退入侵者,乌克兰
4744754325099069,#第三轮俄乌谈判已结束##俄罗斯##乌克兰#为何对乌克兰动武？普京一句话亮明最新态度，泽连斯基察觉不对劲难懂阿三的世界的微博视频,乌克兰
4744754141073417,【王毅谈乌克兰局势：当务之急是避免人道主义危机】中国国务委员兼外长王毅3月7日应约同欧盟外交与安全政策高级代表博雷利通电话时表示，中方对乌克兰局势走到这一步感到痛惜。制裁解决不了问题，升级制裁反而会使局势更加复杂扩大。当务之急是避免人道主义危机。王毅谈乌克兰局势：当务之急是避免人道主义危机,乌克兰
4744754124556534,总部每周晨会之后的总结简直就是大型公开摆烂大会，完全不要脸了。你说业绩他跟你讲市场，你说市场他讲技术，你说技术他跟你讲政治。乌克兰俄罗斯北约欧盟联合国一顿说就是不说自己业绩做的有多烂，我微信随便一个炒股群里的普信男讲政治都讲的比他好。,乌克兰
4744754061904116,昨天推上是击落飞机表演，今天各种视频是反坦克游击战展示。加上一名少将被击毙，守军的照片视频里的士气明显碾压战犯普金那些吃不饱肚子的士兵。北约这次近距离观摩北极熊在家门口拉稀，所有高级将领都很吃惊，总结就是二战以来，这些集权国家没有一个能打的。加油乌克兰！💙💛,乌克兰
4744754027826140,乌克兰“国土防卫军”中的一群外国武装人员，具体地点不明。#关注俄乌局势最新进展#,乌克兰
4744753898327640,评论理简中网友问，还有啥欧美明星战队乌克兰，避个雷。那么我个人的建议是，整个球除了咱老中都可以避一下,乌克兰
4744753893345026,俄军军事思想的过时：乌克兰战场上被击毁的俄军装甲集群俄军军事思想的过时：乌克兰战场上被击毁的俄军装甲集群,乌克兰
4744750747616740,乌克兰无人机“BayraktarTB2”袭击俄军山毛榉-M2防空导弹系统李元芳星球的微博视频,乌克兰
4744750731101834,俄罗斯军队继续全面攻打乌克兰，但因面临乌克兰军队的顽强抵抗而进展缓慢。乌克兰外长库列巴星期一说，泽连斯基总统希望与俄罗斯总统普京直接面谈，处理这场危机。库列巴说，“我们的总统什么都不怕，包括直接与普京会面。如果普京也不怕的话，那么让他来会面吧，让他们坐下来谈。”稍早前，土耳...全文,乌克兰
4744750354402631,【#英国码头工作人员拒卸载俄罗斯石油#】据美国消费者新闻与商业频道（CNBC）3月6日报道，为抗议俄罗斯对乌克兰采取特别军事行动的做法，英国码头雇员在拒绝卸载到港的俄罗斯石油和天然气产品。报道称，英国政府对俄罗斯的严厉制裁，意味着俄罗斯船只不允许在英国港口停泊。然而，这些制裁措施也意味...全文,乌克兰
4744750013350286,蔡'英文再次发文支持乌克兰：台湾的兰花就是乌克兰，请继续捐款给乌克兰#关注俄乌局势最新进展#,乌克兰
4744749896697986,宗教圣地耶路撒冷以前有一家以“Putin”命名的酒吧，不过由于普京对乌克兰发动战争，酒吧老板愤而取消了该招牌然后网上立刻出现了一张名为“泽连斯基”的照片，不过后来证明是假的。老板还没有想好取啥新名字这制裁来的猝不及防#俄罗斯乌克兰##俄罗斯将靠什么应对西方制裁...全文,乌克兰
4744749783975968,乌克兰艰难的”黑命贵“运动：黑人学生问谁来救救他们！3月7日，一群黑人学生在乌克兰苏梅市开始了一场艰难的”黑命贵“运动。他们在镜头中向外界求助，谁能把他们救出乌克兰？现在中国、印度、美国等大国都在纷纷想尽各种办法撤侨，但这些在乌克兰的非洲国家留学生，却成了被人遗忘的人。不但这些非洲...全文,乌克兰
4744749774536975,斗胆预测一下俄乌战争的结局：结局一：乌克兰宣布投降，放弃加入北约的想法，宣布中立，从此以后老老实实，不再得瑟。结局二：乌克兰现任总统泽连斯基下台，继续当他的演员，亲俄派新总统上任，步入白俄罗斯的后尘，成为俄罗斯的铁杆小弟。结局三：乌克兰打死也不投降，现任总统泽连斯基逃到国外...全文,乌克兰
4744749737054096,乌克兰号召逾2万外籍兵美加英人同响应俄国用8千招募叙利亚佣兵俄乌第3轮谈判结束对停战仍没共识记者#乌总统发布视频称自己仍在基辅#武力统一的微博视频,乌克兰
4744749518947321,乌克兰的事已经让美国焦头烂脑了，然而更糟心的事情又来了，加拿大的“卡车大军”已经蔓延到美国，由数千辆车组成的美国版“卡车大军”已经开进华盛顿，他们想效仿加拿大车队，堵住交通要道，做长期停留。搞不好，可能又要再上演一波“国会骚乱”。因为已经有人放话称，这一次的行动，也是要表示对特朗...全文,乌克兰
4744753515596406,【#请尚在乌克兰中国公民尽快离境#】据中国驻乌克兰大使馆官微消息，目前，在乌克兰的中国同胞绝大部分已撤离。当前，乌紧张形势还在不断恶化，且有急剧升温之势，中国驻乌克兰使馆在此谨提醒尚在乌的中国同胞尽快自乌离境。#聚焦俄罗斯乌克兰局势#关于请尚在乌克兰的中国公民尽快离境的通知,乌克兰
4744753491739418,精神香蕉人和高华怎么还没润乌克兰去抗战？怎么只会在简中平台打打嘴炮？反美帝国+北约双标＝支持普京？香蕉人真可怜喷不过就拉黑，就这战斗力线下你能干啥？美帝的狗粮越来越不值钱了，都喂了些什么战五渣,乌克兰
4744753491738992,俄罗斯烟花在乌克兰开工……袍哥说事的微博视频,乌克兰
4744753440620992,【英国码头工作人员拒卸载俄罗斯石油】据美国消费者新闻与商业频道（CNBC）3月6日报道，为抗议俄罗斯对乌克兰采取特别军事行动的做法，英国码头雇员在拒绝卸载到港的俄罗斯石油和天然气产品。报道称，英国政府对俄罗斯的严厉制裁，意味着俄罗斯船只不允许在英国港口停泊。然而，这些制裁措施也意味着...全文,乌克兰
4744753407854478,没有取得进展就是揍的不够疼。外加国内压力不够大。乌克兰，继续加油。,乌克兰
4744753390027333,維基解密爆料現任CIA局長威廉·伯恩斯當時是駐莫斯科美國大使在2008年的寫的報告中說「Nato東擴，特別是納入烏克蘭，會讓烏克蘭陷入分裂和內戰」,乌克兰
4744753302996393,#尚在乌克兰的中国公民尽快撤离#,乌克兰
4744753302209095,#又有两架接返自乌克兰撤离中国公民临时航班安全回国#登上了飞机，就代表着踏上了祖国的领土！我为我有这样的祖国母亲而骄傲！军事讲武堂的微博视频,乌克兰
4744753301947947,【乌克兰禁止对华出售航发？千万别被谣言误导，警惕有人挑拨离间】近日，据媒体报道，在俄乌冲突处于敏感时刻之时，乌克兰却宣布要禁止对华出售航空发动机？岳刚的微博视频（@岳刚）,乌克兰
4744753289627121,以后的乌克兰要学会灵活求生存，两边都不得罪。,乌克兰
4744753050551591,英国情报机构相关人士透露，英国与美国的由情报机构和军方组成的混合特殊小组已经被派遣至乌克兰，准备将乌克兰总统泽连斯基撤出基辅，“计划随时都可以被执行”。报道还称，目前，英国陆军特种空勤团（SAS）正在协助保护泽连斯基。英美这是已经准备好日后扶持一个乌伪政府了啊?,乌克兰
4744753037707210,尼古拉耶夫的快速反应部队攻击俄军装备。乌克兰#乌克兰局势##乌克兰局势最新进展#逆流而上的小白鲨的微博视频,乌克兰
4744752987374825,《俄乌冲突搅动世界，乌克兰总统夫人走上前台引关注》俄乌冲突搅动世界，乌克兰总统泽连斯基的一举一动都被置于聚光灯下。他一向低调的妻子奥莱娜·泽连斯卡，最近也引发关注。网页链接,乌克兰
4744752828253498,乌克兰军队仍然在顿巴斯受到最严重的挤压，DPR/LPR和俄罗斯军队每天都在继续瓦解前线。随着俄罗斯继续切断两军之间所有可能的路线，前线开始与哈尔科夫前线合并。总体而言，俄罗斯陆军和顿巴斯部队继续在东部击败他们最顽强的对手。我仍然相信这是目前最关键的战线。一旦这条战线崩溃，乌克兰在半个国...全文,乌克兰
4744752743845171,在战争的第12天，乌克兰总统泽连斯基发布一段8分钟的视频表示：“我在基辅。在我的办公室里。我没有躲藏。我不惧怕任何人。”#关注俄乌局势最新进展##俄乌局势#新欧洲战法的微博视频,乌克兰
